Track name, Artist name, Album, Playlist name, Type, ISRC
Coppola,Chong Wizard,Midnight Sons,Favorite Songs,Favorite,QZNWT2068460
12 in 2000,Naked Flames,Disagreement 3,Favorite Songs,Favorite,TCAFF2075336
Ginkabiloba,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034006
walking in the snow,Run The Jewels,RTJ4,Favorite Songs,Favorite,QMRSZ2001023
Chainsaw (A List) (feat. Wrigz & J2K & Kivanc),Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1300065
Frank Lucas (feat. Benny the Butcher),Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1314085
Sun of Whorus,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011916
99cent,Retrogott,Metamusik,Favorite Songs,Favorite,QM4TW2109342
On The Water (feat. Street Wiz),Curren$y,The Marina,Favorite Songs,Favorite,USUYG1200878
Huslin', Strugglin', Survivin',Nicholas Craven,Tha Myth Who Never Quit,Favorite Songs,Favorite,QZFYY1917808
Failed Attempt,Boldy James,Real Bad Boldy,Favorite Songs,Favorite,QMBZ92096953
From Home, to Work, and Back..,Tall Black Guy,8 Miles to Moenart,Favorite Songs,Favorite,GBMCZ0600678
Bohemian Groove,Ill Scholars,Ill Scholars,Favorite Songs,Favorite,US92U1903062
Die Sprache des Geldes,Retrogott,Metamusik,Favorite Songs,Favorite,QM4TW2109341
Beautiful,Killah Priest,The Third Eye in Technicolor,Favorite Songs,Favorite,QZNWU2056880
Les Plus Beaux - reprise de François and the Atlas Mountains,This Is The Kit,Rusty and Got Dusty EP,Favorite Songs,Favorite,UST841604603
EarlyBird Nightowl,Elzhi,Seven Times Down Eight Times Up,Favorite Songs,Favorite,US6680917438
Fire In The Streets,Awon,Nothing Less,Favorite Songs,Favorite,QZDA52109806
Shaka Zulu,Cambatta,Holy Ghost 2,Favorite Songs,Favorite,QZFZ71945377
Mural,Lupe Fiasco,Tetsuo & Youth,Favorite Songs,Favorite,USAT21405241
Final Destination,ANKHLEJOHN,As Above So Below,Favorite Songs,Favorite,QZNWV2075668
Kazakhstan,Your Old Droog,Dump YOD: Krutoy Edition,Favorite Songs,Favorite,USHKR0919802
Bones of Osiris,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011913
3am,Deniro Farrar,Exhibit Q,Favorite Songs,Favorite,AUMGB2000643
Lights Out,Gang Starr,One Of The Best Yet,Favorite Songs,Favorite,USA2P1954002
Welcome to 76,Boldy James,Manger on McNichols,Favorite Songs,Favorite,TCAFD2073555
Sommer Vorbei,Zugezogen Maskulin,Sommer Vorbei,Favorite Songs,Favorite,DEQ322000161
Everlasting Game,Awon,Everlasting Game,Favorite Songs,Favorite,QZDA52107946
Cheat Code,Wiki,Cheat Code,Favorite Songs,Favorite,GBBKS1900003
E.A.T.,DJ Premier,E.A.T.,Favorite Songs,Favorite,US6680915727
Worth,Rav,SKIN,Favorite Songs,Favorite,QZFZ32074177
Nothing is Safe,clipping.,Nothing is Safe,Favorite Songs,Favorite,USSUB1933002
Everytime I Fail,Lil B,Thugged out Pissed Off,Favorite Songs,Favorite,TCADP1841137
Imagine (feat. Simon Sayz & Crystal Torres),Lupe Fiasco,DROGAS WAVE,Favorite Songs,Favorite,US5KD1800018
Da Screets,MIKE,Weight of the World,Favorite Songs,Favorite,QZHN82028056
RIP Luv,21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005341
Au Revoir (feat. Melanie Charles),Mach-Hommy,Pray For Haiti,Favorite Songs,Favorite,USUYG1371040
XO (feat. Troi Irons),Lupe Fiasco,DROGAS WAVE,Favorite Songs,Favorite,US5KD1800013
"A Cure For The Common,Preservation,""Eastern Medicine, Western Illness"",Favorite Songs,Favorite,USHKR0919511"
no name,Noname,Room 25,Favorite Songs,Favorite,QM24S1834480
War Paint (feat. Westside Gunn & Conway the Machine),Benny The Butcher,Burden of Proof,Favorite Songs,Favorite,USUYG1337332
Ubiquitous,Deniro Farrar,Sole Food,Favorite Songs,Favorite,GBWUL2046045
Twilight,Anderson .Paak,Ventura,Favorite Songs,Favorite,ZZOPM1900907
Schip Van Theseus,Krullebol,Disagreement 3,Favorite Songs,Favorite,TCAFF2075368
Romantic Paris [dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003524
Shloww,Pink Siifu,FlySiifu's,Favorite Songs,Favorite,GBMYF2000083
Sunchoke,Small Bills,Don't Play It Straight,Favorite Songs,Favorite,QM7282089831
Skinny Suge,Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1314088
Steel Vagina,Roc Marciano,Mt. Marci,Favorite Songs,Favorite,TCAFG2052588
Self Harm,Navy Blue,Song of Sage: Post Panic!,Favorite Songs,Favorite,QZPLR2084052
The Based One,Lil B,The Silent President,Favorite Songs,Favorite,TCADP1824451
Run for Your Life,clipping.,There Existed an Addiction to Blood,Favorite Songs,Favorite,USSUB1933008
NuMirrorcal,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011919
Frida,Armand Hammer,Shrines,Favorite Songs,Favorite,QM6MZ2053310
Comfortable Place,Tall Black Guy,Airplane Mode,Favorite Songs,Favorite,USDHM2103986
Magic City,Deniro Farrar,Re-up,Favorite Songs,Favorite,QZ85M1905825
Sunshine,Awon,Nothing Less,Favorite Songs,Favorite,QZDA52109813
Natural,Klaus Layer,Eternal Visions,Favorite Songs,Favorite,DELJ82070717
Dayjahview,Loaded Lux,Manifest Destiny,Favorite Songs,Favorite,QZHN62101194
Honest Living Crooked Killing,Chong Wizard,Midnight Sons,Favorite Songs,Favorite,QZNWT2068459
Yada Yada,Anderson .Paak,Ventura,Favorite Songs,Favorite,ZZOPM1900904
"Love I & the Color of Bone,demahjiae,""And, Such Is Life."",Favorite Songs,Favorite,QZK6J2019468"
Black Magic (Make It Better),Little Brother,May the Lord Watch,Favorite Songs,Favorite,USUYG1267782
Solitude of Enoch,Ka,Descendants of Cain,Favorite Songs,Favorite,TCAEU2095519
Carry the Tradition,Skyzoo,Retropolitan,Favorite Songs,Favorite,QM6P41934342
Hero of My Story 3style3,Bladee,333,Favorite Songs,Favorite,SE5AJ2001067
GTFU (Feat. JPEGMAFIA & Cakes da Killa),Injury Reserve,Injury Reserve,Favorite Songs,Favorite,USC4R1902660
Silent President,Lil B,The Silent President,Favorite Songs,Favorite,TCADP1824439
Clay Pigeons,Deca,Snakes and Birds,Favorite Songs,Favorite,TCAFE2005981
Patron Saints,Ka,Descendants of Cain,Favorite Songs,Favorite,TCAEU2095514
Scottie Beam,Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1314083
Big Bad Wolf,Googie,Hijinx,Favorite Songs,Favorite,QMBZ92022930
"Pressed,demahjiae,""And, Such Is Life."",Favorite Songs,Favorite,QZK6J2019465"
Tired,Navy Blue,Song of Sage: Post Panic!,Favorite Songs,Favorite,QZPLR2084046
Alert*,MIKE,Weight of the World,Favorite Songs,Favorite,QZHN82028043
Years Gone By,Avantdale Bowling Club,Avantdale Bowling Club,Favorite Songs,Favorite,NZYB01800008
Normaler Samt,Audio88,Normaler Samt,Favorite Songs,Favorite,DEQ121430260
Homicide,Deniro Farrar,Re-up,Favorite Songs,Favorite,QZ85M1905821
Banneker's Almanac,Small Bills,Banneker's Almanac,Favorite Songs,Favorite,QM7282089833
Anti-Social,Apollo Brown,As God Intended,Favorite Songs,Favorite,QM6MZ2095129
Cold Moon,Matt Evans,Cold Moon,Favorite Songs,Favorite,QZFZ32040628
Offloading,Curren$y,The OutRunners,Favorite Songs,Favorite,QM6P42088554
I Am a Thug,Lil B,Thugged out Pissed Off,Favorite Songs,Favorite,TCADP1841127
Quotations from Chairman Fred (feat. Nikki Jean & Bishop Edgar Jackson),Lupe Fiasco,DROGAS WAVE,Favorite Songs,Favorite,US5KD1800022
When You Fall…,Chris Keys,Innocent Country 2,Favorite Songs,Favorite,QM4TW2063834
"Mouth Of A River,Preservation,""Eastern Medicine, Western Illness"",Favorite Songs,Favorite,USHKR0919513"
Opposite Hues,Dana Coppafeel,#Raplords,Favorite Songs,Favorite,USUYG1084093
Flavor Flav,Armand Hammer,Shrines,Favorite Songs,Favorite,QM6MZ2053313
All Glass,Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1314089
No Llores,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034010
Stone Soup,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902735
The Apple,Apollo Brown,As God Intended,Favorite Songs,Favorite,QM6MZ2095137
Spent Casings,DJ Muggs,Tuez-Les Tous,Favorite Songs,Favorite,USA2P1916972
Birth of Bold (The Christening),Boldy James,Manger on McNichols,Favorite Songs,Favorite,TCAFD2073643
Malchishka Krutoy,Your Old Droog,Dump YOD: Krutoy Edition,Favorite Songs,Favorite,USHKR0919807
Scale of Anubis,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011918
Clench,redveil,Niagara,Favorite Songs,Favorite,QZK6N2055189
Music Is My Everything,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916887
Club Down,clipping.,There Existed an Addiction to Blood,Favorite Songs,Favorite,USSUB1933006
"Not the Cat Y'all Saw Yesterday,$ilkMoney,""Attack of the Future Shocked, Flesh Covered, Meatbags of the 85"",Favorite Songs,Favorite,TCAEW2084199"
Mugello Red (feat. Rick Ross),Curren$y,The OutRunners,Favorite Songs,Favorite,QM6P42088558
Old Dogs,Avantdale Bowling Club,Avantdale Bowling Club,Favorite Songs,Favorite,NZYB01800012
La Mala Ordina,clipping.,There Existed an Addiction to Blood,Favorite Songs,Favorite,USSUB1933005
Crystal Clear,Godfather Don,Osmosis (Deluxe Edition),Favorite Songs,Favorite,DEQ022001854
Dots & Lines,Lupe Fiasco,Tetsuo & Youth,Favorite Songs,Favorite,USAT21405243
Gnosis,Godfather Don,Osmosis (Deluxe Edition),Favorite Songs,Favorite,DEQ022001853
33,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011914
Moon Country Overture,Moon Country,Disagreement 3,Favorite Songs,Favorite,TCAFF2075189
F(r)iends,Avantdale Bowling Club,Avantdale Bowling Club,Favorite Songs,Favorite,NZYB01800010
Der Erfolg,Zugezogen Maskulin,10 Jahre Abfuck,Favorite Songs,Favorite,DEQ322000155
Soon Jah Due,Mach-Hommy,Mach's Hard Lemonade,Favorite Songs,Favorite,QZH4F1900260
Rugby,Da Buze Bruvaz,Adebesi Hat Recut,Favorite Songs,Favorite,US6680916430
Cutlass Cathedrals,Curren$y,The OutRunners,Favorite Songs,Favorite,QM6P42088555
Glorious,Skyzoo,Retropolitan,Favorite Songs,Favorite,QM6P41934340
Where Would I Go (feat. Rick Ross),Benny The Butcher,Burden of Proof,Favorite Songs,Favorite,USUYG1337323
Morning Rider,Klaus Layer,Da Master,Favorite Songs,Favorite,DELJ82045451
Área 51,Black Alien,Abaixo de Zero: Hello Hell,Favorite Songs,Favorite,BXXEK1900002
Looking Back from the Future,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034001
Mind Right,Pink Siifu,Mind Right,Favorite Songs,Favorite,GBMYF2000082
WUP,Audio88,WUP,Favorite Songs,Favorite,DEQ022008163
True & Livin’,Blu,True & Livin',Favorite Songs,Favorite,US6680915988
Nothing Less,Awon,Nothing Less,Favorite Songs,Favorite,QZNWZ2094069
Sir Benni Miles,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112199
Manifesto,Loaded Lux,Manifest Destiny,Favorite Songs,Favorite,QZHN62101189
Can't Have Me Nothing,Marlowe,Marlowe 2,Favorite Songs,Favorite,QM6MZ2063248
Million Dollar Deal,Yelawolf,Yelawolf Blacksheep,Favorite Songs,Favorite,US7VG2133302
Menneskekollektivet,Lost Girls,Menneskekollektivet,Favorite Songs,Favorite,NOSTS2184010
Losing Something,Lost Girls,Menneskekollektivet,Favorite Songs,Favorite,NOSTS2184020
The Official,Elaquent,Komfort Food,Favorite Songs,Favorite,CA6E81300102
Stakes Is High,Juicy the Emissary,Komfort Food,Favorite Songs,Favorite,uscgh2121117
The Look,Elaquent,Komfort Food,Favorite Songs,Favorite,FR3Y90900131
Illicit Fields,Ka,Honor Killed the Samurai,Favorite Songs,Favorite,TCACQ1683141
protective styles (feat. Abby T.),McKinley Dixon,For My Mama And Anyone Who Look Like Her,Favorite Songs,Favorite,QMDN22000109
Taking Off,clipping.,CLPPNG,Favorite Songs,Favorite,USSUB1407105
Nihilism,L'Orange,Imaginary Everything,Favorite Songs,Favorite,QM4TX2115224
Corner Store Scandal,L'Orange,Imaginary Everything,Favorite Songs,Favorite,QM4TX2115227
Lyra,L'Orange,Imaginary Everything,Favorite Songs,Favorite,QM4TX2115223
Black Sunlight,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112201
Aubergine,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112203
God's Feet,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112204
Scaffolds,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112206
Wishing Bad,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112208
Squeegee,Armand Hammer,Haram,Favorite Songs,Favorite,QM4TX2112210
Culture-Ish,Skyzoo,All the Brilliant Things,Favorite Songs,Favorite,QM6MZ2113142
The People (feat. Conway the Machine & Marc Scibilia) - Remix,Jim Jones,The Fraud Department,Favorite Songs,Favorite,USUYG1318789
Crescent Reflection,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900584
True Truths,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900583
'94 the Dog Year,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900575
Chopped Cheese,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900577
BAN,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900582
4YOU,Brwnsounds,WITH LOVE.,Favorite Songs,Favorite,QZFZ42114267
SAROS,Brwnsounds,WITH LOVE.,Favorite Songs,Favorite,QZFZ42114271
SOMETIMES/NEVERMIND,Brwnsounds,WITH LOVE.,Favorite Songs,Favorite,QZFZ42114272
In the S.T.R.E.E.T.S.,Ill Conscious,Logistix,Favorite Songs,Favorite,QZFZ41926004
Renaissance,Ill Conscious,Logistix,Favorite Songs,Favorite,QZFZ41926007
295,Ill Conscious,Logistix,Favorite Songs,Favorite,QZFZ41926010
Caviar,Ill Conscious,Logistix,Favorite Songs,Favorite,QZFZ41926011
Represent to the Fullest - Remix,Ill Conscious,Logistix,Favorite Songs,Favorite,QZFZ41926013
Bad Publicity (feat. Krondon),Evidence,Weather or Not,Favorite Songs,Favorite,USBWK1700093
Won't Give Up The Danger (feat. Murkage Dave),Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000319
Pétalos Doblados (feat. Israel B),Dano,Istmo,Favorite Songs,Favorite,QM6N21818259
Doin Tew Much. (In My Mama Name),Pink Siifu,GUMBO'!,Favorite Songs,Favorite,QM24S2105377
Get Urs,Rigz,Wake Ups,Favorite Songs,Favorite,TCAFR2143236
Let Me,Rigz,Wake Ups,Favorite Songs,Favorite,TCAFR2143238
Swole Hearted,Rigz,Wake Ups,Favorite Songs,Favorite,TCAFR2143255
bwo,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939110
Garfield,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939114
Zins,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939115
Ausgang,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939117
Bauchredner,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939105
Schandtat,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939106
Latecapsfinest,Neromun,Cuck,Favorite Songs,Favorite,QM6P41939108
WUP,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022008163
Freunde,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022008160
Schlechtes Gewissen,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022010360
Plus 1,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022008158
Vater Mutter Kind,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022008159
Lauf,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022008161
Mann der Stunde,Retrogott,Metamusik,Favorite Songs,Favorite,QM4TW2109345
Hades Was A Hoe,Vic Spencer,Psychological Cheat Sheet 2,Favorite Songs,Favorite,QZDA82170480
Deliver Us from Evil,Ransom,Deleted Scenes,Favorite Songs,Favorite,TCAFF2030240
"SIR BAUDELAIRE (feat. DJ Drama),""Tyler, The Creator"",CALL ME IF YOU GET LOST,Favorite Songs,Favorite,USQX92102129"
Corner,Alcynoos,Shapes,Favorite Songs,Favorite,DEQ022005050
Dont Leave,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185998
Bluez,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2186001
Essential Worker,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185992
Crying in The Club,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185995
Lejos,Dano,Istmo,Favorite Songs,Favorite,QM6N21818263
Same Way,Rome Streetz,Razor's Edge,Favorite Songs,Favorite,QZK6P2131906
Madrugada (feat. Ergo Pro),Dano,Istmo,Favorite Songs,Favorite,QM6N21818261
De la Mano,Dano,Istmo,Favorite Songs,Favorite,QM6N21818257
Satellites,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2186003
lng hair dnt care,Pink Siifu,GUMBO'!,Favorite Songs,Favorite,QM24S2103863
El Igloo,Dano,Istmo,Favorite Songs,Favorite,QM6N21818258
Oro Entre los Puños,Dano,Istmo,Favorite Songs,Favorite,QM6N21818256
Most High,Rome Streetz,Razor's Edge,Favorite Songs,Favorite,QZK6P2131904
Each and Every Moment,Zelooperz,Van Goghs Left Ear,Favorite Songs,Favorite,QZK6L2185989
Sharks Smell Blood,Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000316
Pardon Me,Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000317
All Of That Said (feat. Boldy James),Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000318
Lost In Time (Park Jams),Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000324
Delay The Issue (feat. Fly Anakin),Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000325
Taylor Made Suit,Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000326
Where We Going From Here...,Evidence,Unlearning Vol. 1,Favorite Songs,Favorite,USBWK2000327
Ukraine,Your Old Droog,Dump YOD: Krutoy Edition,Favorite Songs,Favorite,USHKR0919803
Icee Shop/Entrées,Your Old Droog,Tha YOD Fahim,Favorite Songs,Favorite,US6680917750
Questions,Your Old Droog,Tha YOD Fahim,Favorite Songs,Favorite,US6680917762
90 From The Line Remix (Šarūnas Marčiulionis),Your Old Droog,Tha YOD Fahim,Favorite Songs,Favorite,US6680917763
Sexy Jawn,Wiki,Telephonebooth,Favorite Songs,Favorite,QZHN82107543
Nothing Less,Awon,Nothing Less,Favorite Songs,Favorite,QZNWZ2094069
Fuck a 16,iblss,Mad Space,Favorite Songs,Favorite,QZK6M1900589
BACK’!,Pink Siifu,GUMBO'!,Favorite Songs,Favorite,QM24S2105378
Headshots (4r Da Locals),Isaiah Rashad,The House Is Burning,Favorite Songs,Favorite,USWB12101513
Score (feat. SZA & 6LACK),Isaiah Rashad,The House Is Burning,Favorite Songs,Favorite,USWB12102082
The Cool Out,Awon,Nothing Less,Favorite Songs,Favorite,QZDA52109819
Business Or Art,Gang Starr,One Of The Best Yet,Favorite Songs,Favorite,USA2P1954007
Blood of the Fang,clipping.,There Existed an Addiction to Blood,Favorite Songs,Favorite,USSUB1933012
Take_it_Back_v2,Denzel Curry,UNLOCKED,Favorite Songs,Favorite,USC4R1902910
Forever Droppin Tears (feat. El Camino),Conway the Machine,From King To A GOD,Favorite Songs,Favorite,USUYG1332347
Nothin Less,Conway the Machine,From King To A GOD,Favorite Songs,Favorite,USUYG1332349
One Way Flight (feat. Freddie Gibbs),Benny The Butcher,Burden of Proof,Favorite Songs,Favorite,USUYG1337325
Famous,Benny The Butcher,Burden of Proof,Favorite Songs,Favorite,USUYG1337326
Timeless (feat. Lil Wayne & Big Sean),Benny The Butcher,Timeless (feat. Lil Wayne & Big Sean),Favorite Songs,Favorite,USUYG1336173
Trade It All,Benny The Butcher,Burden of Proof,Favorite Songs,Favorite,USUYG1337330
Carruth,Boldy James,The Price Of Tea In China,Favorite Songs,Favorite,USUYG1294337
Miles Davis,Blu,Miles Davis,Favorite Songs,Favorite,US6680916885
Miles Away,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916891
Grey October,Boldy James,The Price Of Tea In China,Favorite Songs,Favorite,USUYG1294345
Willie Gets Lynched,Add-2,Jim Crow the Musical,Favorite Songs,Favorite,QZHNB1965089
Little Vicious (feat. Eto),Boldy James,Real Bad Boldy,Favorite Songs,Favorite,QMBZ92096954
Souls 4 Sale (Soul'd Out),Add-2,Jim Crow the Musical,Favorite Songs,Favorite,QZHNB1965079
The Secret Life of Blacks,Add-2,Jim Crow the Musical,Favorite Songs,Favorite,QZHNB1965074
Jump the Broom,Add-2,Jim Crow the Musical,Favorite Songs,Favorite,QZHNB1965083
Young Niggas (Maintain),Add-2,Jim Crow the Musical,Favorite Songs,Favorite,QZHNB1965078
Held Me Down,Boldy James,Real Bad Boldy,Favorite Songs,Favorite,QMBZ92096956
OMENS & TOTEMS,R.A.P. Ferreira,Purple Moonlight Pages,Favorite Songs,Favorite,US25X2000097
PINBALL,R.A.P. Ferreira,Purple Moonlight Pages,Favorite Songs,Favorite,US25X2000108
Slabs of the Sunburnt West,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902730
Bless The Fire,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902729
Messy,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902728
North To South,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902727
Outro / Honest,Chris Keys,Innocent Country 2,Favorite Songs,Favorite,QM4TW2063821
Grease from the Elbows,Chris Keys,Innocent Country 2,Favorite Songs,Favorite,QM4TW2063827
Make It Better,Chris Keys,Innocent Country 2,Favorite Songs,Favorite,QM4TW2063831
Post Panic!,Navy Blue,Song of Sage: Post Panic!,Favorite Songs,Favorite,QZPLR2084047
Certainty,Navy Blue,Song of Sage: Post Panic!,Favorite Songs,Favorite,QZPLR2084049
So.Incredible.pkg,Denzel Curry,UNLOCKED,Favorite Songs,Favorite,USC4R1902914
Through the Fog,Rav,SKIN,Favorite Songs,Favorite,QZFZ32074180
Breathing Underwater for Dummies,Rav,SKIN,Favorite Songs,Favorite,QZFZ32074182
Sat Night Part 2,Kenny Segal,A Worthwhile Fortress (Selected Intros from STFDC),Favorite Songs,Favorite,US25X1089422
050415_MikeNewBassIdeas.aif,Kenny Segal,A Worthwhile Fortress (Selected Instros From STFDC),Favorite Songs,Favorite,US25X1089423
110814_NewPhonePhuckup.aif,Kenny Segal,A Worthwhile Fortress (Selected Instros From STFDC),Favorite Songs,Favorite,US25X1089426
Pyro (leak 2019),Denzel Curry,UNLOCKED,Favorite Songs,Favorite,USC4R1902912
DIET_,Denzel Curry,UNLOCKED,Favorite Songs,Favorite,USC4R1902913
Clean,Pink Siifu,FlySiifu's,Favorite Songs,Favorite,GBMYF2000089
Slabs [dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003521
Jargonne [dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003520
I Love (Mimi, Moms, Kev),Ka,Descendants of Cain,Favorite Songs,Favorite,TCAEU2095598
Outro,OG Keemo,Geist,Favorite Songs,Favorite,DEW921901342
Faust,OG Keemo,Geist,Favorite Songs,Favorite,DEW921901341
Neuner,OG Keemo,Geist,Favorite Songs,Favorite,DEW921901339
Daimajin,OG Keemo,Geist,Favorite Songs,Favorite,DEW921901337
Last Summer,Lil B,Evil Red Flame,Favorite Songs,Favorite,TCADP1822059
Goodbye,Lil B,Blue Flame,Favorite Songs,Favorite,TCADP1821068
Bashido Blade,Lil B,Evil Red Flame,Favorite Songs,Favorite,TCADP1822043
Tell Me Yours,Propaganda,Crimson Cord,Favorite Songs,Favorite,USACX1400222
Redeem,Propaganda,Crimson Cord,Favorite Songs,Favorite,USACX1400221
Beautiful Pain,Propaganda,Art Ambidextrous,Favorite Songs,Favorite,USACX1100098
I Ain't Gave Up On You Yet,Propaganda,Crimson Cord,Favorite Songs,Favorite,USACX1400216
Crimson Cord,Propaganda,Crimson Cord,Favorite Songs,Favorite,USACX1400211
Excellent,Propaganda,Excellent,Favorite Songs,Favorite,USACX1202071
Beautiful Pain - Edit,Propaganda,Selected Songs,Favorite Songs,Favorite,USM2C1601905
Radar Tower,Curren$y,The Marina,Favorite Songs,Favorite,USUYG1200884
Spurs 3 (feat. Benny The Butcher & Westside Gunn),Conway the Machine,From King To A GOD,Favorite Songs,Favorite,USUYG1332346
Fee Fi Fo Fum,Wiki,Fee Fi Fo Fum b/w Smarty Jones,Favorite Songs,Favorite,US92U1901274
r(E)volution,Sa-Roc,r(E)volution,Favorite Songs,Favorite,USBWK1900049
Seen Everything But Jesus (feat. Freddie Gibbs),Conway the Machine,Seen Everything But Jesus (feat. Freddie Gibbs),Favorite Songs,Favorite,USUYG1332344
Clout Dracula (Remix),Mach-Hommy,Mach's Hard Lemonade,Favorite Songs,Favorite,QZH4F2000002
What's Home 1/2,MIKE,Weight of the World,Favorite Songs,Favorite,QZHN82028048
Squeaky Hinge,Mach-Hommy,Squeaky Hinge,Favorite Songs,Favorite,QZH4F1900266
yankee and the brave (ep. 4),Run The Jewels,yankee and the brave (ep. 4),Favorite Songs,Favorite,QMRSZ2000762
We All Want Something,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034014
Little Dominiques Nosebleed Outro,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034016
Lap of Luxury,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034015
The World's Smallest Violin,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034013
Marshmallow Test,Mach-Hommy,Mach's Hard Lemonade,Favorite Songs,Favorite,QZH4F1900261
Fucked Up (feat. Belly),Jim Jones,The Fraud Department,Favorite Songs,Favorite,USUYG1358373
Ruiner,Phonebox,Disagreement 3,Favorite Songs,Favorite,TCAFF2075344
Manilla,Lupe Fiasco,DROGAS WAVE,Favorite Songs,Favorite,US5KD1800003
Grounded,Sa-Roc,The Sharecropper's Daughter,Favorite Songs,Favorite,USBWK1900054
Can You Hear Me? (ayayaya) (feat. Skepta, JME & Ms D),Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1200558
They.Resurrect.Over.New. (feat. Ab-Soul & Troi),Lupe Fiasco,Tetsuo & Youth,Favorite Songs,Favorite,USAT21405252
NO STARVING ARTISTS,R.A.P. Ferreira,Purple Moonlight Pages,Favorite Songs,Favorite,US25X2000103
Debold,Vegyn,Only Diamonds Cut Diamonds,Favorite Songs,Favorite,GBKPL1967216
Rauschen,Retrogott,Metamusik,Favorite Songs,Favorite,QM4TW2109349
Psylense of the Lambatta,Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011926
